iter	MAE
0	0.06952013106
1	0.06917321318
2	0.0688546477
3	0.06854726723
4	0.06826494799
5	0.0679910108
6	0.06770919409
7	0.06744567922
8	0.06721733853
9	0.06697327547
10	0.0667275318
11	0.06648821305
12	0.06628780777
13	0.0660936476
14	0.06590261389
15	0.06572919763
16	0.06554622385
17	0.0653698465
18	0.06521072524
19	0.06504218533
20	0.06487644588
21	0.06471962265
22	0.06455965639
23	0.06443265395
24	0.0643297668
25	0.06420196942
26	0.06408753821
27	0.06395696288
28	0.06385181128
29	0.06374153343
30	0.06364448181
31	0.06353223601
32	0.06342483078
33	0.06334598237
34	0.0632403838
35	0.06314690139
36	0.06306401453
37	0.06297484714
38	0.0628949835
39	0.06281524798
40	0.06273366928
41	0.06265578718
42	0.06258409572
43	0.06251406629
44	0.06244850339
45	0.06237912209
46	0.06231845857
47	0.06225456209
48	0.06218983128
49	0.0621259435
50	0.06207203892
51	0.06202264847
52	0.06196991978
53	0.06192247619
54	0.06187861916
55	0.06183101015
56	0.06178291313
57	0.06174455105
58	0.06169901677
59	0.06165473755
60	0.06160279482
61	0.06156124524
62	0.06152894048
63	0.06148781107
64	0.06144601294
65	0.06140288676
66	0.06135650692
67	0.06132063413
68	0.06128935482
69	0.06125539769
70	0.06120558224
71	0.06117228736
72	0.06113436152
73	0.06110514299
74	0.06106815221
75	0.06102757812
76	0.0609945716
77	0.06096931026
78	0.06094534124
79	0.06091323916
80	0.06088300436
81	0.06084984575
82	0.06081514261
83	0.06078508554
84	0.06075691157
85	0.06072562991
86	0.06069146558
87	0.06066448598
88	0.0606289465
89	0.06060009901
90	0.06057813321
91	0.06054888281
92	0.06052309265
93	0.06049985528
94	0.06047636374
95	0.0604536859
96	0.06043005551
97	0.06040991133
98	0.06038624635
99	0.06036585788
100	0.06035027709
101	0.06033178806
102	0.06031926232
103	0.06029828607
104	0.06028108898
105	0.06026110706
106	0.06024196664
107	0.06022033232
108	0.06020373342
109	0.06018501925
110	0.06017406967
111	0.06015407775
112	0.06013867398
113	0.06012489659
114	0.06010789865
115	0.06008484414
116	0.06007067306
117	0.06005386887
118	0.06003847871
119	0.06002694457
120	0.06001256258
121	0.05999368029
122	0.05997595551
123	0.05995689862
124	0.05994550157
125	0.05993218995
126	0.05992045543
127	0.05990649435
128	0.05988892415
129	0.05987153329
130	0.05985704461
131	0.05984328214
132	0.05983191212
133	0.05981860393
134	0.05980305142
135	0.05979541891
136	0.05978630031
137	0.05977482928
138	0.05976350815
139	0.05974976415
140	0.05974159269
141	0.059733392
142	0.05972508516
143	0.05971351173
144	0.05970498635
145	0.05969411192
146	0.0596822772
147	0.05967456753
148	0.05966144084
149	0.05965632824
150	0.05964181967
151	0.0596350226
152	0.05962335052
153	0.05960780022
154	0.05959940067
155	0.05959416653
156	0.0595814087
157	0.05956983326
158	0.05956112221
159	0.05955312811
160	0.05954577284
161	0.05953622669
162	0.05952837323
163	0.05952245392
164	0.05951655471
165	0.05950698681
166	0.05949169475
167	0.05947954877
168	0.05947229276
169	0.05946412441
170	0.05945386596
171	0.05944644485
172	0.05943842122
173	0.05943100786
174	0.05942286724
175	0.05941559503
176	0.05940832597
177	0.05940043416
178	0.0593967004
179	0.05939182041
180	0.05938673315
181	0.05938211507
182	0.05937772752
183	0.05937169745
184	0.05936777881
185	0.05935988551
186	0.05935485505
187	0.05934931462
188	0.05934226078
189	0.05933610369
190	0.05933066251
191	0.05932640917
192	0.05932031293
193	0.05931528964
194	0.05930935578
195	0.05930680814
196	0.05930014533
197	0.05929467847
198	0.05928556742
199	0.05927188002
200	0.05926693348
201	0.05926078498
202	0.05925366327
203	0.05925081681
204	0.0592470176
205	0.05923994105
206	0.05923559979
207	0.05922871532
208	0.05921817303
209	0.05921291148
210	0.05920837819
211	0.05920411157
212	0.05919793186
213	0.05919129196
214	0.05918384702
215	0.05917834684
216	0.05917586909
217	0.05916767224
218	0.0591640725
219	0.05915809388
220	0.05915076305
221	0.05914728631
222	0.05914435105
223	0.05913879572
224	0.05913018425
225	0.05912697058
