iter	Passed	Remaining
582	350961	251030
583	351568	250432
584	352183	249839
585	352678	249161
586	353194	248499
587	353763	247874
588	354513	247376
589	355228	246853
590	355727	246180
591	356289	245551
592	356765	244862
593	357537	244377
594	358267	243862
595	358865	243257
596	359775	242863
597	360415	242285
598	360965	241648
599	361447	240965
600	361963	240305
601	362505	239663
602	362907	238929
603	363407	238260
604	363848	237553
605	364312	236862
606	364724	236139
607	365190	235451
608	365773	234839
609	366358	234229
610	366931	233611
611	367379	232913
612	367911	232270
613	368492	231658
614	369114	231071
615	369685	230453
616	370233	229821
617	370791	229194
618	371287	228530
619	371777	227863
620	372242	227181
621	372835	226578
622	373411	225965
623	374213	225487
624	374761	224856
625	375291	224215
626	375715	223511
627	376255	222877
628	376816	222255
629	377334	221608
630	377922	221003
631	378418	220345
632	378941	219702
633	379534	219100
634	380145	218509
635	380751	217914
636	381258	217263
637	381761	216610
638	382290	215973
639	382755	215300
640	383414	214736
641	383871	214059
642	384450	213450
643	384968	212808
644	385442	212142
645	386002	211524
646	386489	210866
647	387122	210288
648	387739	209701
649	388339	209106
650	388806	208438
651	389395	207836
652	389895	207187
653	390388	206536
654	390953	205922
655	391562	205331
656	392016	204659
657	392493	204001
658	392978	203346
659	393568	202747
660	394098	202117
661	394696	201521
662	395246	200902
663	395861	200315
664	396542	199761
665	397028	199110
666	397564	198484
667	398079	197847
668	398680	197254
669	399109	196576
670	399589	195923
671	400129	195301
672	400595	194643
673	401099	194003
674	401526	193327
675	402091	192718
676	402548	192057
677	403117	191451
678	403632	190819
679	404038	190135
680	404613	189532
681	405142	188908
682	405656	188276
683	406128	187626
684	406777	187058
685	407339	186449
686	407889	185836
687	408492	185246
688	409023	184624
689	409588	184017
690	410198	183431
691	410676	182786
692	411299	182206
693	411842	181590
694	412386	180975
695	412943	180366
696	413412	179718
697	413977	179113
698	414508	178493
699	415012	177862
700	415490	177220
701	416065	176620
702	416516	175967
703	417100	175371
704	417603	174741
705	418092	174106
706	418550	173458
707	419010	172812
708	419617	172226
709	420060	171573
710	420551	170941
711	421081	170325
712	421592	169701
713	422175	169106
714	422684	168482
715	423266	167887
716	423780	167266
717	424302	166648
718	424888	166055
719	425355	165416
720	425920	164815
721	426421	164190
722	426919	163563
723	427419	162939
724	427917	162313
725	428393	161680
726	428962	161082
727	429583	160503
728	430202	159924
729	430674	159290
730	431213	158681
731	431776	158082
732	432255	157451
733	432762	156832
734	433248	156205
735	433830	155613
736	434408	155019
737	434904	154396
738	435421	153782
739	435911	153158
740	436533	152580
741	436962	151935
742	437411	151298
743	437973	150700
744	438528	150100
745	438951	149455
746	439482	148847
747	440043	148250
748	440505	147619
749	440979	146993
750	441524	146390
751	442017	145771
752	442538	145162
753	442968	144522
754	443424	143892
755	443982	143296
756	444482	142680
757	445016	142076
758	445520	141462
759	446073	140865
760	446575	140251
761	447087	139641
762	447587	139027
763	447985	138383
764	448460	137762
765	448930	137140
766	449519	136555
767	449973	135929
768	450443	135308
769	451019	134720
770	451491	134100
771	452031	133501
772	452514	132885
773	453060	132288
774	453437	131643
775	453937	131033
776	454528	130450
777	455036	129843
778	455464	129213
779	455988	128612
780	456467	127998
781	456955	127386
782	457350	126749
783	458070	126203
784	458462	125566
785	458973	124962
786	459483	124358
787	459963	123746
788	460406	123125
789	460897	122516
790	461393	121910
791	461924	121313
792	462374	120695
793	462776	120065
794	463256	119456
795	463848	118875
796	464324	118265
797	464827	117663
798	465370	117070
799	465820	116455
800	466349	115859
801	466875	115263
802	467288	114639
803	467880	114060
804	468412	113466
805	468961	112876
806	469426	112266
807	469869	111652
808	470295	111033
809	470956	110471
810	471647	109915
811	472238	109336
812	472795	108748
813	473416	108176
814	473895	107571
815	474415	106976
816	475083	106413
817	475579	105813
818	476176	105235
819	476709	104643
820	477233	104049
821	477635	103429
822	478241	102853
823	478810	102270
824	479421	101695
825	480001	101114
826	480514	100518
827	481080	99934
828	481552	99331
829	482105	98744
830	482589	98143
831	483139	97556
832	483531	96938
833	484114	96358
834	484547	95748
835	484957	95135
836	485453	94538
837	485859	93925
838	486380	93334
839	487056	92772
840	487699	92204
841	488258	91620
842	488953	91062
843	489671	90508
844	490285	89933
845	490878	89356
846	491439	88772
847	491992	88187
848	492818	87650
849	493350	87061
850	493930	86481
851	494433	85887
852	494990	85303
853	495580	84724
854	496017	84119
855	496501	83523
856	497050	82938
857	497613	82355
858	498197	81776
859	498809	81201
860	499305	80608
861	499778	80011
862	500300	79422
863	500807	78830
864	501330	78242
865	501830	77650
866	502533	77089
867	503047	76500
868	503626	75920
869	504157	75333
870	504666	74743
871	505156	74151
872	505648	73559
873	506281	72987
874	506826	72403
875	507304	71810
876	507845	71225
877	508455	70651
878	509005	70067
879	509660	69499
880	510192	68913
881	510757	68332
882	511268	67744
883	511948	67178
884	512414	66584
885	512879	65991
886	513531	65421
887	514008	64829
888	514570	64248
889	515043	63657
890	515551	63069
891	515991	62474
892	516702	61911
893	517204	61324
894	517693	60734
895	518189	60146
896	518702	59561
897	519257	58980
898	519802	58398
899	520307	57811
900	520859	57230
901	521523	56662
902	521980	56070
903	522578	55495
904	523187	54920
905	523729	54338
906	524312	53760
907	524900	53183
908	525718	52629
909	526244	52046
910	526814	51467
911	527417	50891
912	527904	50304
913	528461	49723
914	528952	49137
915	529458	48552
916	530044	47975
917	530602	47395
918	531092	46810
919	531673	46232
920	532236	45653
921	532743	45069
922	533232	44484
923	533728	43899
924	534207	43314
925	534787	42736
926	535368	42159
927	535767	41568
928	536263	40984
929	536754	40400
930	537359	39825
931	537835	39241
932	538397	38663
933	538955	38084
934	539426	37500
935	540023	36924
936	540462	36338
937	540985	35758
938	541475	35175
939	541999	34595
940	542497	34014
941	543022	33434
942	543556	32855
943	543991	32270
944	544634	31698
945	545087	31114
946	545537	30531
947	546053	29952
948	546535	29371
949	547104	28794
950	547546	28212
951	548002	27630
952	548548	27053
953	548957	26469
954	549537	25894
955	550109	25318
956	550900	24753
957	551373	24172
958	551964	23598
959	552463	23019
960	552993	22441
961	553553	21865
962	554104	21289
963	554661	20713
964	555168	20135
965	555750	19560
966	556351	18986
967	556879	18409
968	557322	17829
969	557937	17255
970	558510	16680
971	559084	16105
972	559583	15528
973	560055	14950
974	560579	14373
975	561055	13796
976	561629	13221
977	562163	12645
978	562667	12069
979	563181	11493
980	563736	10918
981	564366	10344
982	564971	9770
983	565500	9195
984	566124	8621
985	566676	8046
986	567185	7470
987	567670	6894
988	568238	6320
989	568754	5744
990	569252	5169
991	569721	4594
992	570365	4020
993	570923	3446
994	571458	2871
995	571846	2296
996	572493	1722
997	572890	1148
998	573382	573
999	573886	0
